asin,description
B0000223SI,nan
B0000223SK,nan
B0000223UV,"A person is applying Gorilla Glue to a brown suitcase, with a bottle of Gorilla Glue and a roll of tape visible nearby. The suitcase has a textured surface and appears to be made of leather or a leather-like material. The glue bottle is orange with a white cap and features the Gorilla Glue logo prominently."
B00002246J,nan
B0000224MY,nan
B0000225HD,nan
B0000225IO,nan
B0000225HB,nan
B0000224J0,nan
B00002N6FE,nan
B00002ND44,nan
B00002NC3K,"A sleek, minimalist design with a modern aesthetic, featuring a combination of matte black and metallic silver finishes. The product showcases a clean, contemporary look with a polished surface and a subtle, elegant pattern on the back."
B00002ND6L,"The image showcases a white plastic tube of DAP Alex Plus Acrylic Latex Caulk Plus Silicone, designed for sealing windows and doors. The tube is filled with clear silicone sealant, ideal for long-lasting weatherproofing. The label indicates it's suitable for use on various surfaces and has a 35-year warranty against cracking or peeling."
B00002ND49,nan
B00002ND4I,"A beige-colored vacuum cleaner bag with a brown rectangular section at the top featuring a blue circle logo, designed for efficient dust collection and maintenance."
B00004R9U1,nan
B00004R9TU,nan
B00004R9M1,nan
B00004RH8H,nan
B00004RH8J,nan
B00004RH8I,nan
B00004RHKX,nan
B00004RHKU,nan
B00004RHKW,nan
B00004RHAO,nan
B00004SZ5J,"The image showcases a set of three black metal drill bits with white markings indicating various sizes from 1/8"" to 1/4"". The bits feature a spiral design for efficient drilling and have ""USA"" branding on their sides."
B00004T7S3,nan
B00004T7W2,"A close-up image of a person using a black and gold tool to apply adhesive to a white fabric surface, with a wooden block and a small white object nearby on a grid-patterned surface."
B00004T82I,nan
B00004TBJF,"The image showcases a pack of Scott Rags in a Box, featuring eight boxes in total. Each box is predominantly yellow with red accents, highlighting the brand name ""Scott"" and the product name ""Rags."" The packaging emphasizes the rags' strength, absorbency, and softness, making them ideal for various cleaning tasks."
B00004TBJD,"The image showcases a cardboard box of Scott Shop Towels, featuring a blue and white color scheme with a cartoon character on the front. The packaging indicates that there are 8 units per case, emphasizing the product's bulk quantity and suitability for professional use."
B00004THYY,nan
B00004THYX,"This image showcases a black and silver spiral drill bit with precise measurements ranging from 1/64"" to 1/2"". The USA marking is visible on the lower part of the tool, indicating its origin. The spiral design suggests it's designed for drilling into various materials efficiently."
B00004UDN8,nan
B00004UDI2,nan
B00004UDJX,"This image showcases a blue rectangular sign with white text and an icon of a shovel pointing upwards. The text indicates compatibility with all Dremel rotary tools and specifies a 3.2mm shaft size. The design is simple and functional, emphasizing ease of use and versatility."
B00004UDI1,nan
B00004WCCP,nan
B00004WCCL,"The image showcases a roll of black electrical tape with a yellow and black label indicating it is made by 3M. The tape appears to be made from a durable, high-quality material suitable for various applications requiring insulation and protection."
B00004WG0Q,"The image showcases a roll of Fix-It Duct Tape, prominently displayed against a white background. The tape is silver-colored with a textured surface, designed for home and office general repairs. The packaging includes a blue label with text and a red and white logo, emphasizing its American manufacturing origin."
B00004WLKT,"A set of colorful wrenches, each with a unique color including red, yellow, blue, green, black, and silver, arranged in a circular pattern on a white background. The wrenches appear to be made of metal and have different sizes, suitable for various mechanical tasks."
B00004WLKI,"This black rocker switch features a textured brown top cover with a metallic finish. It has a rectangular shape with two metal terminals at the bottom for electrical connection. The switch is marked with specifications including voltage ratings of 10A 277VAC and 20A 125VAC, and it is identified by the part numbers E-60272 and LR-39145."
B00004WLKB,"This is a toggle switch with a metallic finish, featuring a shiny, cylindrical handle and a robust base with two brass-colored screws. The switch has a red label with white text, indicating its specifications or model number."
B00004WLKA,This is a toggle switch with a metallic toggle lever and a black housing. The switch has four brass terminals for electrical connections. The lever is silver-colored and appears to be made of metal. The switch is designed for use in electronic devices where it can be manually switched on or off.
B00004WLL3,"A clear plastic storage box with a white lid contains neatly organized assortment of insulated wire connectors, including red, blue, and yellow ones, arranged in separate compartments. The box is designed for easy access and sorting, making it ideal for DIY projects or electrical work."
B00004XSAE,nan
B00004Y693,nan
B00004Y68Y,nan
B00004Y75M,nan
B00004YMDF,nan
B00004YMDG,"A gloved hand holds a yellow power tool with a black cylindrical attachment, positioned on a metal surface with visible rust and wear. The tool appears to be used for grinding or polishing, indicated by the motion blur and the angle of the attachment against the metal."
B00004YOKH,"The image compares various caster characteristics, with red circles indicating recommended options and gray circles indicating not recommended. Key features include durability, protection of floors, non-marking properties, resistance to bumps and rough surfaces, noise reduction, temperature resistance, and chemical resistance. The chart highlights different materials such as polyurethane, rubber, cast iron, and polypropylene, each with its own set of advantages and limitations."
B00004YOKC,"The MoveIt Triangle Dolly Model 9299E is a versatile tool designed for easy movement of objects. It features a 2-inch tall round base with a 1/4-inch slot and a 1/2-inch hole, making it suitable for various applications. The dolly also includes 1/4-inch caster wheels for smooth rolling."
B00004YOL4,"The image is a comparison chart titled ""Compare Caster Characteristics,"" which lists various caster types such as TPR, TPR Replacable, Plastic, Metal, and Polyurethane. Each type is rated with red dots indicating recommended use and gray dots indicating not recommended use. The chart covers characteristics like durability, protection from liquids, non-marking, withstands bumps/rough surfaces, reduces noise, and resists chemicals. The chart uses a color-coded system where red dots indicate 'Recommended' and gray dots indicate 'Not Recommended.'"
B00004YOG0,"This image showcases a sleek, black and white LED light bar with a cylindrical design. The light bar is equipped with a white end cap and a metallic connector at the bottom, indicating its functionality and durability. The overall appearance suggests it is designed for indoor or outdoor use, providing bright illumination."
B00004YSW8,nan
B00004YVI6,"The image shows a box of Grip Rite screws, specifically #6 x 1-1/4"" Phillips Drive Wood Screws. The packaging is predominantly orange with white text and features a barcode on the bottom right corner. The box has a handle at the top for easy carrying."
B00004YYDG,"This image showcases a blue bristle brush attachment, designed for use with a power drill. The brush is attached to a metal shaft, which has a threaded end for securing it onto the drill bit. The brush appears to be made of durable material, suitable for various cleaning tasks."
B00004YYD2,"This image showcases a blue bristle brush attachment, designed for use with a power drill. The brush is mounted on a metal base with a hexagonal socket, ideal for various cleaning and sanding tasks. The brush's vibrant blue bristles are densely packed, ensuring effective surface cleaning or sanding."
B00004YVI5,"The image shows a box of Grip Rite screws, specifically #6 x 1-1/4"" Phillips Drive Wood Screws. The packaging is predominantly orange with white text and features a barcode on the bottom right corner. The box has a handle at the top, indicating it's designed for easy transport."
B00004YYD8,"The image showcases three abrasive wheel brushes with distinct colors: blue, orange, and gray. Each wheel has a circular shape with a central hub and is designed for use on power tools for grinding, sanding, or polishing surfaces. The wheels feature a textured surface for effective material removal and come in various sizes and grits, suitable for different applications and materials."
B00004YYD0,"A white ceiling-mounted brush with a black bristle head and a blue metal handle, designed for cleaning surfaces like walls or floors."
B00004YZQU,"The image showcases a collection of metal nails with alternating silver and yellow-colored heads. The nails are arranged in a staggered pattern, emphasizing their uniformity and precision. The silver heads have a reflective surface, while the yellow heads feature a textured pattern, adding visual interest to the arrangement."
B00004YZQS,nan
B00004YZQP,"The image showcases a package of Senco A209809 nails, featuring 1200 galvanized nails with dimensions ranging from 5/8"" to 1¼"". The packaging is predominantly pink with white text and features a clear plastic window displaying the nails inside."
B00004YZQW,"A stack of galvanized nails with yellow shanks and silver heads, arranged diagonally on a white background. The nails have a consistent length and are evenly spaced, showcasing their industrial design."
B00004YZQQ,"A set of light blue bamboo placemats arranged neatly on a white background, showcasing their textured surface and uniform design."
B00004Z2HC,nan
B00004Z2HR,nan
B00004Z2I2,nan
B00004Z2HN,"The image showcases Arrow T25 Strong Staples, with a sleek orange and white packaging featuring a red triangle logo. The package measures approximately 3.7 inches in height and 9 cm in width, making it easily portable for use in various applications."
B00004Z0R1,nan
B00004Z2HD,"The image showcases Arrow JT21 staples, designed and assembled in the USA. These staples measure 6mm (1/4 inch) in actual size and come in a pack of 1000. The packaging is predominantly white with green and red accents, featuring the Arrow logo and product specifications clearly displayed."
B00004Z2H4,nan
B00004Z2HY,nan
B00004Z49L,"The image showcases a 3M Contour Surface All Purpose Sanding Pad, designed for flexible use on contour surfaces. It is made of flexible material, suitable for rinsing and reusing, with dimensions of 4.5 inches x 5.5 inches x 0.77 inches. The packaging is predominantly yellow and green, featuring the 3M logo and product information in both English and Spanish."
B00004Z4AI,nan
B00004Z4DS,"The image showcases a roll of 3M High Temperature Fume Tape, designed for use in high-temperature environments such as ducts and chimneys. The packaging is predominantly red with black text, featuring a clear window to display the tape inside. The tape itself appears to be silver or metallic in color, suitable for its intended high-temperature applications."
B0000516K4,"The image showcases a package of Velcro brand sticky back fasteners, designed for everyday use in both home and office settings. The packaging features a beige background with red accents, highlighting the product's versatility and practicality. The package includes two sizes: 1.5 x 1.5 cm and 1.5 x 2.5 cm, suitable for various applications such as organizing drawers or securing items on walls."
B000051WTX,"A close-up view of a roll of black Phillips head screws with a white plastic coating, arranged in a spiral pattern on a white background. The screws have a cross-shaped head and are likely made of steel or a similar material, suitable for various DIY projects and home improvement tasks."
B000051WTW,"The image showcases a roll of black and white screws with a spiral pattern, featuring a combination of black and white colors. The screws have a metallic finish and are arranged in a circular pattern on the roll."
B000052030,"The image showcases the logo of M-D Building Products, featuring a yellow house icon on a black background with the text ""M-D Building Products."" Below it, there is an emblem with a blue border, containing an American flag inside a green circle with a leaf design, accompanied by the words ""American Made"" and ""Earth Friendly."" The overall design emphasizes American manufacturing and environmental consciousness."
B00005202U,"The image showcases the logo of M-D Building Products, featuring a yellow house icon on a black background with the text ""M-D Building Products."" Below it, there is an emblem with a blue border, containing an American flag inside a green circle, symbolizing ""American Made,"" and the words ""Earth Friendly"" around the bottom edge. The design emphasizes the brand's commitment to quality and environmental responsibility."
B00005AXI1,"A man is using a yellow and black portable air compressor attached to a blue band saw, likely for dust extraction during woodworking tasks. The scene takes place in a well-lit workshop with white walls and a pegboard, suggesting a professional or hobbyist setting."
B00005IBW1,A white tube of Intense Stain remover with a black label on it.
B00005JRLF,nan
B00005JRLB,nan
B00005JRLD,nan
B00005JRLC,nan
B000067S12,"A man is using a red and black power sander on a white wall, with an orange extension cord running from the sander to a wall socket. He is wearing a red shirt, blue jeans, and gloves. The scene includes a wooden door, a green carpeted floor, and a white step stool."
B00006FXPF,nan
B00006I9X4,"The image showcases a powerful vacuum cleaner with a sleek black and silver design. The vacuum's long orange cord is prominently displayed, indicating its readiness for use. The machine appears to be designed for deep cleaning, suitable for various surfaces including carpets and hard floors."
B00006IC2K,"A whiteboard with a black marker attached to it, featuring a message from Brian instructing someone to pick up Caitlin after school. The board is mounted on a beige wall, with a small piece of tape holding the marker in place."
B00006IC2O,"A close-up image of a white Velcro strip with a textured surface, featuring a pattern of small dots or bumps along its length. The strip appears to be made of a durable material suitable for securing items together, likely used in various applications such as packaging, crafting, or DIY projects."
B00006ICOR,"This industrial-style dolly features a robust metal frame with a circular base and two large wheels for easy mobility. The design includes multiple holes for securing objects, making it versatile for various tasks. The overall appearance is utilitarian, with a focus on durability and functionality."
B00006U0LF,"This image showcases a black, circular belt with a ribbed surface, designed for mechanical applications such as conveyor systems or industrial machinery. The belt appears to be made of durable material, likely rubber or a synthetic blend, suitable for high-traffic environments."
B00006U0KV,"A black, circular belt with a ribbed surface, likely made of rubber or a similar material, designed for mechanical applications such as conveyor systems or industrial machinery."
B00006XY3H,"A roll of white mesh tape with a yellow label featuring ""3M"" branding, showcasing a textured pattern on the surface."
B0000864VS,"These black sheer tights feature a smooth, opaque fabric with a subtle sheen, providing a classic and elegant look. The tights are made from high-quality, stretchable material, ensuring comfort and flexibility while maintaining their shape. Perfect for formal wear or everyday use, these tights offer a stylish and versatile addition to any outfit."
B000087KUA,"The image showcases a pack of four rolls of Scotch Shipping Heavy Duty tape, each roll featuring a white core with blue and yellow labels. The packaging is designed for easy handling and storage, emphasizing durability and reliability for shipping applications."
B00008IHTL,"This image showcases a precision measuring instrument, likely a micrometer or caliper, featuring a metallic body with a black knob on top for adjustment. The device has a cylindrical handle with a hole for gripping and a long, slender metal rod extending downward, indicating its use for measuring small distances or diameters. The overall design suggests it is made of durable materials, suitable for professional or industrial applications requiring high accuracy."
B00008US7G,"The image showcases a red tool kit containing six bottles of 2P-10 adhesive, each with different colors and labels. The kit also includes an activator bottle, a small brush, and a pair of tweezers, all neatly organized within the sturdy red case."
B00008VXNE,"A white spray bottle with a red nozzle and cap, containing a liquid solution, likely for cleaning or disinfecting purposes. The label on the bottle is written in multiple languages, including English, French, and Spanish, indicating its international use."
B00009V3ZG,"The image showcases a product advertisement for Red Devil 100% Silicone Sealant, highlighting its long-lasting, weather-resistant formula suitable for sealing glass, metal, and ceramic surfaces. The sealant is available in various colors and sizes, including White, Bronze, Clear, and Black, with a 50-year durability guarantee. It is designed for use on window and door frames, skylights, aluminum siding, gutters, trim, fiberglass, marble, porcelain, and vinyl."
